Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
642db28851e878d18ca26b37,5d70ec2138ac7e00012f817b,APPROVED,2023-04-05T17:40:30.787000Z,2023-04-05T18:10:28.103000Z,2023-04-05T18:10:28.615000,2023-04-05T18:10:28.530950Z,1798,C16AD8BI,590,"Portuguese, English",Graduate degree (MA/MSc/MPhil/other),24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
642db2b8f6946723b04e0ea6,5f4f3eba2f0d6c195a3cc262,APPROVED,2023-04-05T17:41:19.165000Z,2023-04-05T19:03:55.205000Z,2023-04-05T19:03:55.722000Z,2023-04-05T19:03:56.396638Z,4957,C16AD8BI,258,"Greek, English",Graduate degree (MA/MSc/MPhil/other),28,Female,White,Greece,Greece,Greece,Greek,Yes,Full-Time
642db2caf22e216ee4ea2c69,5e42e113c3fc7d1764c724e0,APPROVED,2023-04-05T17:41:30.448000Z,2023-04-05T18:34:24.668000Z,2023-04-05T18:34:25.163000,2023-04-05T18:34:25.095176Z,3175,C16AD8BI,167,"Polish, English",Graduate degree (MA/MSc/MPhil/other),30,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
642db2da6f4af5c1c06f286d,611d289bb00d800e89ad1698,APPROVED,2023-04-05T17:41:46.736000Z,2023-04-05T18:00:35.016000Z,2023-04-05T18:00:47.360000Z,2023-04-05T18:00:54.611497Z,1129,C16AD8BI,190,English,Undergraduate degree (BA/BSc/other),24,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Part-Time
642db2ebf493dc03d51dfefe,61230876ad65890ff8619511,APPROVED,2023-04-05T17:42:03.348000Z,2023-04-05T18:00:33.979000Z,2023-04-05T18:00:46.765000Z,2023-04-05T18:00:53.194287Z,1111,C16AD8BI,165,"English, Spanish",Graduate degree (MA/MSc/MPhil/other),37,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
642db314dd4300a27a4bdf4d,6155841573df9e7e0d71a709,APPROVED,2023-04-05T17:44:30.912000Z,2023-04-05T17:59:24.020000Z,2023-04-05T17:59:24.571000,2023-04-05T17:59:24.468725Z,894,C16AD8BI,115,English,High school diploma/A-levels,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
642db315a251ca30571751e7,60bfa4a37ea373b300727816,APPROVED,2023-04-05T17:42:52.797000Z,2023-04-05T18:14:31.759000Z,2023-04-05T18:14:32.327000,2023-04-05T18:14:32.254174Z,1899,C16AD8BI,125,"English, Portuguese",Undergraduate degree (BA/BSc/other),23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
642db330aa5aa5c873fa47ab,612a98181f4b6d1cf01f926c,APPROVED,2023-04-05T17:43:12.964000Z,2023-04-05T19:18:44.393000Z,2023-04-05T19:18:44.927000,2023-04-05T19:18:44.857402Z,5732,C16AD8BI,115,"Afrikaans, English",Undergraduate degree (BA/BSc/other),21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
642db337023d96ad285c6c0b,5e7e45b8f0320e0897cf5048,APPROVED,2023-04-05T17:43:21.575000Z,2023-04-05T17:55:35.875000Z,2023-04-05T17:55:36.305000,2023-04-05T17:55:36.310489Z,735,C16AD8BI,92,"English, Portuguese",Graduate degree (MA/MSc/MPhil/other),22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
642db3609d8644610dfc7725,5de5157820c5aa09b7a53b89,APPROVED,2023-04-05T17:44:00.473000Z,2023-04-05T18:41:41.122000Z,2023-04-05T18:41:41.601000,2023-04-05T18:41:41.533679Z,3461,C16AD8BI,375,"Greek, English",High school diploma/A-levels,23,Male,White,Greece,Greece,Greece,Greek,No,Other
642db37b3b7c5a54ec009635,60a2dcbec46f3208f0e75edd,APPROVED,2023-04-05T17:44:27.110000Z,2023-04-05T19:10:36.359000Z,2023-04-05T19:10:40.379000,2023-04-05T19:10:40.309193Z,5170,C16AD8BI,238,"Portuguese, English",High school diploma/A-levels,22,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Other
642db37d15664c2b94939c8f,5f10d1960878f0401ddc72ba,APPROVED,2023-04-05T17:47:45.143000Z,2023-04-05T18:08:48.755000Z,2023-04-05T18:08:49.455000,2023-04-05T18:08:49.374005Z,1264,C16AD8BI,250,"English, Greek, German",Graduate degree (MA/MSc/MPhil/other),26,Female,White,Greece,Greece,Greece,Greek,No,Full-Time
642db38a0ea0d00ffcf20543,5a081034ab721b0001ef7952,APPROVED,2023-04-05T17:44:50.536000Z,2023-04-05T18:20:51.475000Z,2023-04-05T18:20:51.937000Z,2023-04-05T18:20:52.114941Z,2161,C16AD8BI,412,"English, Spanish",Undergraduate degree (BA/BSc/other),52,Female,White,Ireland,Spain,Ireland,English,No,Full-Time
642db38cb9d6c62edd1aa1fd,5f16125c73920477380e8c00,APPROVED,2023-04-05T17:44:48.136000Z,2023-04-05T17:58:35.815000Z,2023-04-05T17:58:36.264000,2023-04-05T17:58:36.176059Z,828,C16AD8BI,157,English,Undergraduate degree (BA/BSc/other),32,Female,White,United Kingdom,Greece,United Kingdom,English,No,Full-Time
642db39593b6f95f402a1a9b,60fef19b9c12d84b5a87fa1d,APPROVED,2023-04-05T17:44:53.692000Z,2023-04-05T17:59:41.418000Z,2023-04-05T17:59:43.744000,2023-04-05T17:59:43.640505Z,888,C16AD8BI,184,"Polish, English",Undergraduate degree (BA/BSc/other),24,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
642db3ac63ed69ec492019ad,6155d0cafa46f83b2716f453,APPROVED,2023-04-05T17:51:25.625000Z,2023-04-05T18:26:57.491000Z,2023-04-05T18:27:01.201000,2023-04-05T18:27:01.136298Z,2132,C16AD8BI,113,English,High school diploma/A-levels,21,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
642db5896484eac44fb3c6dc,60832c401f9b0439e333066b,APPROVED,2023-04-05T17:53:13.353000Z,2023-04-05T18:18:18.411000Z,2023-04-05T18:18:22.216000,2023-04-05T18:18:22.143539Z,1506,C16AD8BI,183,"Portuguese, Spanish, English",Graduate degree (MA/MSc/MPhil/other),27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
642db632e4299215eced1f5b,611ed2c05be8517aa0d6076b,APPROVED,2023-04-05T17:56:02.297000Z,2023-04-05T18:53:42.567000Z,2023-04-05T18:53:43.076000,2023-04-05T18:53:43.009574Z,3461,C16AD8BI,355,"English, Portuguese, Spanish",Undergraduate degree (BA/BSc/other),22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
642db8005d809096356f2879,60e93f64ec69ecdac3107555,APPROVED,2023-04-05T18:04:02.729000Z,2023-04-05T18:36:47.144000Z,2023-04-05T18:36:48.260000,2023-04-05T18:36:48.182471Z,1965,C16AD8BI,298,"English, Latvian, Russian",High school diploma/A-levels,21,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,Part-Time
642dcc456a9d26a0dded1f2b,5eab2dbd0c7a950efa32c3dc,APPROVED,2023-04-05T19:31:18.597000Z,2023-04-05T20:09:33.386000Z,2023-04-05T20:09:34.093000,2023-04-05T20:09:34.033114Z,2295,C16AD8BI,311,English,High school diploma/A-levels,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
